LSOA11CD,LAD11NM,PTAL Score,lsoademographics_White,lsoademographics_Mixed/multiple ethnic groups,lsoademographics_Asian/Asian British,lsoademographics_Black/African/Caribbean/Black British,lsoademographics_Other ethnic group,lsoademographics_BAME,lsoademographics_White (%),lsoademographics_Mixed/multiple ethnic groups (%),lsoademographics_Asian/Asian British (%),lsoademographics_Black/African/Caribbean/Black British (%),lsoademographics_Other ethnic group (%),lsoademographics_BAME (%),lsoademographics_United Kingdom,lsoademographics_Not United Kingdom,lsoademographics_% United Kingdom,lsoademographics_% Not United Kingdom,lsoademographics_Households with at least one person aged 16 or over with English as a main language,lsoademographics_Households where no people aged 16 or over have English as a main language,lsoademographics_% of households with at least one person aged 16 or over with English as a main language,lsoademographics_% of households where no people aged 16 or over have English as a main language,lsoademographics_Christian,lsoademographics_Buddhist,lsoademographics_Hindu,lsoademographics_Jewish,lsoademographics_Muslim,lsoademographics_Sikh,lsoademographics_Other religion,lsoademographics_No religion,lsoademographics_Religion not stated,lsoademographics_Christian (%),lsoademographics_Buddhist (%),lsoademographics_Hindu (%),lsoademographics_Jewish (%),lsoademographics_Muslim (%),lsoademographics_Sikh (%),lsoademographics_Other religion (%),lsoademographics_No religion (%),lsoademographics_Religion not stated (%),IMD only_LSOA name (2011),IMD only_Index of Multiple Deprivation (IMD) Score,IMD only_Income Score (rate),IMD only_Employment Score (rate),"IMD only_Education, Skills and Training Score",IMD only_Health Deprivation and Disability Score,IMD only_Crime Score,IMD only_Barriers to Housing and Services Score,IMD only_Living Environment Score,lsoahouseprices_House Prices;Median Price;2014,Mean and Median Incomes_2012/13mean,Mean and Median Incomes_2012/13median,lsoaages_All Ages,lsoaages_0-15,lsoaages_16-29,lsoaages_30-44,lsoaages_45-64,lsoaages_65+,lsoaages_Working-age
E01003584,Newham,7.22095,593,111,1006,315,48,1480,28.6,5.4,48.5,15.2,2.3,71.4,1116,957,53.8,46.2,494,144,77.4,22.6,654,6,104,4,805,94,15,244,147,31.5,0.3,5,0.2,38.8,4.5,0.7,11.8,7.1,Newham 003B,29.5,0.2,0.1,12.5,-0.1,0.7,46,29.2,380000,44000,37320,2073,469,563,457,425,159,1445
E01003585,Newham,13.6621,155,20,1221,191,62,1494,9.4,1.2,74,11.6,3.8,90.6,682,967,41.4,58.6,254,153,62.4,37.6,295,5,134,2,1028,82,0,39,64,17.9,0.3,8.1,0.1,62.3,5,0,2.4,3.9,Newham 004B,28,0.2,0.1,25,0,0.2,51.3,29,308000,37500,31750,1649,410,482,371,256,130,1109
E01003586,Newham,12.6977,297,66,1106,236,46,1454,17,3.8,63.2,13.5,2.6,83,694,1057,39.6,60.4,309,200,60.7,39.3,422,3,261,2,813,65,24,93,68,24.1,0.2,14.9,0.1,46.4,3.7,1.4,5.3,3.9,Newham 003C,30,0.2,0.1,20,0.1,0.4,48.3,36.4,200000,38930,33010,1751,337,580,417,311,106,1308
E01003587,Newham,14.6578,485,81,1347,441,82,1951,19.9,3.3,55.3,18.1,3.4,80.1,1057,1379,43.4,56.6,553,270,67.2,32.8,802,8,287,1,951,87,8,166,126,32.9,0.3,11.8,0,39,3.6,0.3,6.8,5.2,Newham 004C,28,0.2,0.1,15.9,-0.3,0.4,50,23.6,207000,38970,33050,2436,569,693,685,333,156,1711
E01003588,Newham,10.8009,140,41,1385,180,40,1646,7.8,2.3,77.5,10.1,2.2,92.2,697,1089,39,61,293,161,64.5,35.5,310,8,274,2,934,107,12,26,113,17.4,0.4,15.3,0.1,52.3,6,0.7,1.5,6.3,Newham 011D,29.2,0.2,0.1,19,0,0,51.5,30.5,285750,37570,31810,1786,431,578,373,287,117,1238
E01003589,Newham,10.3726,313,63,1252,183,60,1558,16.7,3.4,66.9,9.8,3.2,83.3,766,1105,40.9,59.1,309,203,60.4,39.6,429,13,283,0,875,95,5,77,94,22.9,0.7,15.1,0,46.8,5.1,0.3,4.1,5,Newham 011E,26.8,0.2,0.1,19.7,-0.1,0.2,50.4,28.1,259500,39380,33400,1871,471,537,452,317,94,1306
E01003590,Newham,13.1008,468,95,618,371,34,1118,29.5,6,39,23.4,2.1,70.5,836,750,52.7,47.3,423,149,74,26,664,2,99,0,525,21,4,134,137,41.9,0.1,6.2,0,33.1,1.3,0.3,8.4,8.6,Newham 003D,38.3,0.2,0.1,17.8,0.6,0.9,52.1,26.3,249975,39530,33540,1586,379,337,351,317,202,1005
E01003591,Newham,17.7402,382,99,1197,405,83,1784,17.6,4.6,55.3,18.7,3.8,82.4,867,1299,40,60,422,249,62.9,37.1,612,11,208,3,1026,61,8,114,123,28.3,0.5,9.6,0.1,47.4,2.8,0.4,5.3,5.7,Newham 004D,34.1,0.2,0.1,23.4,-0.1,0.3,51.7,38.2,232500,35960,30360,2166,535,664,514,333,120,1511
E01003625,Newham,2.24658,315,87,1060,159,76,1382,18.6,5.1,62.5,9.4,4.5,81.4,685,1012,40.4,59.6,297,187,61.4,38.6,464,9,395,5,582,70,2,90,80,27.3,0.5,23.3,0.3,34.3,4.1,0.1,5.3,4.7,Newham 015A,28.6,0.1,0.1,18,-0.3,0.5,56.8,39.2,244000,39370,33400,1697,423,496,447,249,82,1192
E01003638,Redbridge,7.82279,821,50,580,146,14,790,51,3.1,36,9.1,0.9,49,1136,475,70.5,29.5,534,56,90.5,9.5,588,6,164,227,288,57,2,151,128,36.5,0.4,10.2,14.1,17.9,3.5,0.1,9.4,7.9,Redbridge 017A,17.7,0.1,0.1,12.1,-0.8,0,29.1,18.6,410000,45310,36810,1611,304,369,278,403,257,1050
